,judul,konten,kategori
1023,Potret Keindahan yang Terlupakan di Budapest,"Budapest - ""Symphony of Decay"" adalah proyek menjelajahi tempat-tempat yang telah ditinggalkan untuk menemukan kembali warisan yang dulu berkilau di Budapest, Hungaria.Sang fotografer berusaha mengabadikan beberapa bangunan indah di Budapest yang kini mulai ditinggalkan. Tampak halaman sebuah istana yang terbengkalai di Budapest.",travel
1024,Potret Kereta 'Hidung Setan' yang Minta Tumbal Nyawa Manusia,"Quito - Di Pegunungan Andes ada sebuah jalur kereta yang sangat indah, namanya Nariz del Diablo. Meski begitu, arti namanya seram banget.Inilah Nariz del Diablo, sebuah jalur kereta di Ekuador, Amerika Selatan. View-nya keren banget,Â Pegunungan Andes. (tren Ecuador)",travel
1025,Potret Kinkaku-ji Temple di Kyoto,,travel
1026,Potret Petani Dataran Tinggi Guatemala di Tengah Pandemi Corona,Para petani bersiap memanen kubis di lahan pertaniannya meskipun pandemi Corona juga melanda negeri ini.,finance
1027,Potret Taman di Belgia yang Membiru Kala Pandemi Corona,"Belgia - Ketika taman dan hutan ditutup akibat pandemi COVID-19, bunga bluebell mekar dan mengeluarkan warna ungu yang indah. Yuk, lihat potretnya.Seperti yang terjadi di Belgia, nampak sebuah taman beralaskan warna ungu cantik dari bunga bluebell yang tengah mekar.",travel
1028,"Pra Kerja Ajarkan Bikin CV, Sandiaga: Saya Kasih Gratis","Kartu pra kerja telah diluncurkan pemerintah untuk membantu masyarakat yang terkena dampak virus Corona. Ada sejumlah pelatihan yang diberikan kepada penerima kartu ini, salah satunya ialah membuat curriculum vitae (CV).Apa tanggapan pengusaha Sandiaga Uno?""Haha, CV nanti saya kasih gratis saja,"" canda Sandi dalam acara One on One Tegar Menghadapi Badai Corona yang digelar detikcom, Rabu (22/4/2020).Sandi mulanya enggan berkomentar banyak mengenai kartu ini. Namun, dia kemudian menjelaskan, kartu pra kerja ialah program pemerintah untuk masyarakat yang membutuhkan lapangan pekerjaan.Dengan merebaknya virus Corona, program ini pun dipercepat.""Jadi kartu pra kerja program andalan pemerintah Pak Jokowi, dengan kabinet Indonesia maju. Ini dirancang sebelum COVID-19 di mana akan ada pelatihan, akan ada dana disiapkan untuk masyarakat yang membutuhkan lapangan kerja,"" ujarnya.Dia setuju dengan program ini, asal mekanismenya tepat sasaran. Kemudian, bantuannya dititikberatkan pada dana tunai.""Saya setuju selama mekanismenya ini yang dititikberatkan dana tunai kepada masyarakat secara cepat dan tepat sasaran,"" ujarnya.""Dengan cara seperti ini, kita harus menurunkan bobot pelatihannya mau dilatih apa mereka,"" tambahnya.",finance
1029,Prediksi Dunia Penerbangan dari Tony Fernandes Usai COVID-19,"Sebagai salah satu pemilik maskapai terdampak COVID-19, Tony Fernandes punya prediksi akan dunia penerbangan usai Corona. Akan ada perubahan signifikan.Dalam obrolan santai dengan VJ Daniel di Live IG-nya Rabu malam (15/4), pendiri AirAsia Tony Fernandes buka-bukaan soal langkah maskapainya untuk bertahan di tengah pandemi corona. Tak hanya bicara masa kini, Tony juga ditanyai seputar nasib dunia penerbangan setelah corona.Dengan singkat dan sederhana, Tony menyampaikan seputar prediksinya akan trend dunia penerbangan usai COVID-19. Contohnya seperti tren penerbangan ke luar negeri yang akan berganti ke dalam regional atau domestik.""Saya kira ini akan sulit, tapi penerbangan maskapai AirAsia untuk kawasan regional dan domestik akan bangkit lebih dulu,"" ujar Tony.Sebagai maskapai yang berpusat di Malaysia, mayoritas pesawat Tony ada di negara tersebut. Untuk menerbangkan pesawatnya kembali, tentu butuh izin dari Pemerintah Malaysia terkait status keamanan negaranya di tengah pandemi.Apabila penyebaran corona di Malaysia dapat diatasi, tentunya Pemerintah Malaysia akan melonggarkan aturan isolasi dan mengizinkan maskapai milik Tony terbang. Minimal di lingkup domestik.Hanya untuk terbang keluar batas negara, tentu harus seizin aturan pemerintah di negara terkait. Benar kata Tony, kalau rute penerbangan domestik pasti akan menjadi langkah awal banyak maskapai usai corona reda.Di satu sisi, pandemi corona yang tengah marak ini juga telah menimbulkan ketakutan untuk bepergian. Terutama lintas negara.""Akan ada sedikit xenofobia (ketidaksukaan atau ketakutan terhadap orang-orang dari negara lain-red). Orang-orang akan takut untuk terbang,"" ungkap Tony.Prediksi Tony tentu sangat berdasar, melihat banyak lockdown yang diterapkan sejumlah negara di dunia demi melindungi warganya di dalam dan membendung warga negara lain. Terlebih dari negara yang dianggap sebagai pusat epidemi corona.""Akan ada sambutan yang kurang bersahabat dari negara di seberang. Ada banyak penutupan batas negara dan munculnya pemimpin beraliran kanan,"" ujar Tony.Tidak bisa dipungkiri, efek buruk dari corona tak hanya dari segi medis melainkan psikologis yang memecah keseimbangan negara di dunia. Orang jadi mudah berburuk sangka, terutama pada orang lain.""Kita bisa melihat virus ini mempengaruhi semua orang. Kita adalah manusia biasa, kita bisa sangat egois. Hanya jangan putus harapan, bersama kita bisa bangkit dan mulai kembali,"" tutup Tony.Sebagai satu dari banyak nama top di dunia penerbangan, Tony memang dikenal sebagai sosok yang hangat dan selalu berdiri di baris terdepan ketika bicara soal tanggung jawab dan pelayanan. Sifat yang bisa dicontoh oleh industri penerbangan dunia di saat sulit seperti ini.----Traveler Punya pengalaman Traveling di berbagai tempat menarik? Kirim Artikelmu di Link Ini",travel
1030,"Prediksi Kemiskinan Imbas Corona, Tol Dilengkapi Terowongan Gajah","Materi berita detikFinance Sabtu (18/4/2020) tentang prediksi setengah miliar orang jatuh miskin gara-gara dampak virus Corona. Prediksi ini disampaikan Oxfam, lembaga nirlaba internasional asal Inggris.Indonesia perlu mewaspadai hal tersebut karena imbas Corona telah menyerang sendi-sendi perekonomian sehingga banyak orang kena PHK maupun dirumahkan. Belum lagi para pelaku UMKM juga tak lagi bisa berjualan karena permintaan anjlok.Selain itu, berita terpopuler lainnya adalah Tol Pekanbaru-Dumai sepanjang 131 kilometer dilengkapi terowongan untuk gajah. Pengin tahu informasi selengkapnya? Baca 5 berita terpopuler detikFinance beriku ini.",finance
1031,Prediksi Terburuk Ekonomi Dunia dari IMF,"Dana Moneter Internasional (IMF) memiliki prediksi perekonomian dunia saat pandemi COVID-19 ini berlangsung. Lembaga itu menyebut jika ekonomi dunia makin mendekati resesi karena banyak perekonomian negara-negara besar terus menurun akibat guncangan yang disebabkan Corona. Apa saja prediksinya? IMF menyebut kondisi ini adalah yang terparah sejak 1930. Risiko resesi bisa terjadi pad 2021, jika pejabat di berbagai negara tak mampu merespon pandemi ini dengan kebijakan yang cepat dan tepat. ""Lockdown besar-besaran akan berdampak pada penurunan pertumbuhan ekonomi global. Tingkat produk domestik bruto (PDB) masih dibayangi ketidakpastian,"" kata IMF dikutip dari CNN, Rabu (15/4/2020).IMF mencontohkan, Amerika Serikat (AS) telah menyetujui stimulus US$ 2 triliun untuk menjaga sistem keuangan tetap stabil,Kemudian pertumbuhan ekonomi di China juga sangat terpukul oleh Corona. Diproyeksi akan turun ke level 1,2%. Pertumbuhan ini memiliki prospek yang sama suramnya dengan negara-negara lain.lalu IMF juga memperkirakan ekonomi Jerman juga akan terdampak Corona karena terganggunya perdagangan global. Selain itu Inggris juga diprediksi mengalami penurunan pertumbuhan.Jepang juga tak luput masuk dalam daftar negara yang ekonominya akan memburuk akibat dampak Corona. Walaupun Jepang tidak melakukan pembatasan besar-besaran namun tetap saja perekonomiannya akan tertekan.",finance
1032,Presiden KSPSI Bilang Jokowi Punya Kabar Bahagia Buat Buruh,"Para buruh saat ini tengah menanti pernyataan yang akan dikeluarkan oleh Presiden Joko Widodo terkait Omnibus Law Cipta Kerja. Mereka menolak ngotot menolak terobosan undang-undang tersebut.Presiden Konfederasi Serikat Pekerja Seluruh Indonesia (KSPSI) Andi Gani Nena Wea mengatakan, para buruh saat ini hanya menunggu pernyataan dari mulut Jokowi. Mereka baru akan mengambil sikap berdasarkan pernyataan yang disampaikan Jokowi nanti.Andi sendiri kemarin bersama dengan Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal dan Presiden Konfederasi Serikat Buruh Sejahtera Indonesia (KSBSI) Elly Rosita Silaban bertemu dengan Jokowi. Mereka membahas secara spesifik tentang Omnibus Law Cipta Kerja klaster ketenagakerjaan.""Mudah-mudahan Presiden akan mengeluarkan keputusan terbaik. Kami sudah tahu keputusannya, tapi kami tidak pas untuk menyampaikan sebelum Presiden menyampaikan,"" tuturnya kepada detikcom, Kamis (23/4/2020).Andi mengaku sudah bisa menebak apa yang akan disampaikan Jokowi. Meski tak bisa menyampaikan lebih dulu, dia yakin apa yang akan disampaikan Jokowi akan membahagiakan para buruh.""Saya yakin bahwa kabar ini akan membahagiakan buruh se Indonesia,"" tuturnya.Mantan Komisaris PT PP itu mengaku kenal dekat dengan Jokowi. Oleh karena itu dia yakin Jokowi akan menyampaikan pernyataan sesuai dengan apa yang dia ketahui sebelumnya.""Saya kenal Pak Jokowi sudah sangat lama saya loyalis beliau sejak awal dari Solo, Jakarta sampai Pilpres. Saya tahu persis beliau berkomitmen. Saya punya keyakinan sangat kuat soal itu,"" tuturnya.",finance
1033,"Presiden dan Pejabat Nggak Terima THR, Pemerintah Hemat Rp 5,5 T","Pemerintah memutuskan tidak memberikan tunjangan hari raya (THR) kepada presiden, wakil presiden hingga pejabat setingkat eselon III ke atas. Dari pemangkasan THR ini, pemerintah bisa menghemat Rp 5,5 triliun.Anggaran yang dihemat ini masuk ke APBN untuk kemudian dibelanjakan ke pos-pos lain.""Kita bisa mengurangi anggaran THR hampir Rp 5,5 triliun itu berarti uangnya yang sudah dialokasikan nanti masuk APBN secara keseluruhan, di sisi lain belanja kesehatan, bansos dan berbagai dukungan kepada usaha kecil menengah juga menimbulkan belanja baru,"" kata Menteri Keuangan Sri Mulyani Indrawati dalam teleconference, Jumat (17/4/2020).Sementara, Direktur Jenderal Anggaran Kementerian Keuangan (Kemenkeu) Askolani menjelaskan, tunjangan yang diberikan sebesar gaji pokok dan tunjangan yang melekat, tidak termasuk tunjangan kinerja yang diperhitungkan seperti tahun sebelumnya.""Pejabat eselon ketiga ke bawah diberikan hanya tunjangan melekat tidak termasuk tunjangan kinerja yang selama ini yang dua tahun ini ditambahkan komponen THR. Dan ini juga berlaku ASN pusat maupun yang ada di Pemda,"" katanya.Dia menambahkan, pensiunan juga akan mendapat THR seperti halnya tahun sebelumnya.""Dan satu lagi diberikan kepada pensiun diberikan sesuai yang telah didapat tahun yang lalu,"" ujarnya.",finance
1034,"Presiden hingga Menteri Tak Dapat THR, Bagaimana dengan Pensiunan?","Menteri Keuangan Sri Mulyani Indrawati mengungkapkan, tidak semua pejabat mendapat tunjangan hari raya (THR) pada tahun ini. Kebijakan ini ditempuh karena dampak virus Corona atau COVID-19.Mengutip Instagram pribadinya @smindrawati, Presiden, Menteri hingga anggota DPR-MPR tidak mendapat THR pada tahun ini.""Namun seperti Presiden, Wapres, Para Menteri, DPR, MPR DPD, Kepala Daerah Pejabat Negara tidak mendapatkan THR dengan keputusan tersebut,"" kata Sri Mulyani seperti dikutip detikcom, Kamis (16/4/2020).Meski demikian, ia memastikan Aparatur Sipil Negara (ASN)/PNS, TNI dan Polri setara eselon III ke bawah akan mendapat THR. THR yang diberikan berdasarkan gaji pokok dan tunjangan melekat, bukan tunjangan kinerja (tukin).""THR untuk ASN, TNI, Polri, Bapak Presiden sudah memutuskan THR akan dibayarkan untuk seluruh ASN, TNI, Polri yang posisinya adalah di bawah atau dalam hal ini sampai dengan eselon III ke bawah. Jadi seluruh pelaksana dan seluruh eselon III ke bawah mendapatkan THR dari gaji pokok dan tunjangan melekat. Tidak dari tukinnya,"" paparnya.Bagaimana dengan pensiunan? Sri Mulyani bilang, pensiunan juga akan mendapat THR seperti yang dilakukan pada tahun lalu.""Pensiun juga tetap mendapatkan THR sesuai yang dilakukan pada tahun lalu. Karena pensiun adalah kelompok yang mungkin rentan juga,"" ujarnya.""Jadi THR akan dilakukan sesuai dengan siklusnya.  Sekarang ini di dalam proses melakukan revisi Perpres sesuai dengan instruksi Bapak Presiden bahwa THR  untuk seluruh pejabat negara dan eselon I serta eselon II tidak dibayarkan,"" tambah Sri Mulyani. ",finance
1035,Pria Ini Kaget Saat Buka Kaleng Pasta Berusia 25 Tahun Lalu,"Pria ini kaget ketika melihat isi dari pasta kalengan yang ditemukannya dari tahun 1995. Ia langsung membagikan pasta kaleng ini di Twitter.Pada tahun 1995, perusahaan makanan kalengan Chef Boyardee mengeluarkan pasta kalengan edisi Spiderman yang cukup populer saat itu. 25 tahun berselang, seorang pria bernama Matt menemukan kaleng pasta ini.Baca Juga: Ada yang Dibuat Tahun 1865, Ini 5 Makanan Kaleng Tertua di Dunia Dilansir dari Fox News (20/04), Matt lewat akun Twitter @DinosaurDracula mengabadikan momen pembukaan kaleng pasta ini lewat beberapa foto. Pria asal New York ini menjelaskan proses pembukaan kaleng.""Saya mengambil pembuka kaleng dan sedikit kesulitan ketika akan membukanya. Sempat khawatir tentang kemungkinan besar bahwa isi pasta ini sudah berubah menjadi mahkluk hidup yang menyeramkan,"" candanya.Setelah itu ia berhasil membukanya dan terkejut melihat isi pasta yang sudah berubah menjadi gumpalan cokelat karatan.""Saya secara hati-hati mengeluarkan gumpalan menjijikkan ini dari dalam kaleng. Kemudian pasta itu sudah berubah menjadi sarang Genosian dari Star Wars: Attack of the Clones,"" jelas Matt.Tak hanya membukanya, Matt juga meneliti gumpalan pasta berusia 25 tahun tersebut. Di bagian belakang kaleng terdapat bentuk pasta yang menyerupai Spiderman.""Ada Spiderman malang yang terjebak di dalam sarang beracun ini. Maafkan saya Peter Parker. Terima kasih bagi semua orang yang menyaksikan acara pembukaan kaleng pasta ini bersama saya,"" tutup Matt.Cuitannya langsung viral dan direspon banyak netizen.""Saya juga pernah seperti ini. Ketika ibu saya meninggal dunia saya membersihkan rumahnya dan menemukan ada dua kaleng hotdog yang masih utuh. Ketika saya mencobanya yang satu rasanya normal, yang satu lagi rasanya hambar dan mengerikan,"" tulis netizen @TheMainStand.""Saya ingin semua makanan kaleng ini dimasukkan ke dalam museum khusus yang bisa dikunjungi banyak orang,"" tulis netizen @Pumpkin923.Matt sendiri memang hobi mengumpulkan mainan, permen, dan makanan kaleng dari tahun 1980-1990. Ia bahkan punya situs resmi yang mengulas tentang hobinya ini.Hingga saat ini cuitan Matt sudah diretweet sebanyak 16 ribu kali dan disukai 81 ribu pengguna.Baca Juga: Setelah Dibuka Apakah Makanan Kaleng Boleh Disimpan di Kulkas? ",food
1036,"Produksi Banyak APD, Indonesia Ternyata Cuma Jadi 'Tukang Jahit'","Menteri BUMN Erick Thohir menjadikan health security sebagai salah satu program utama. Berbagai cara pun ditempuh untuk mewujudkan hal tersebut, seperti membentuk sub holding farmasi hingga menyatukan rumah sakit pelat merah.Bukan tanpa alasan, health security menjadi program utama Erick Thohir. Sebab, ketahanan dalam negeri masih lemah.Staf Khusus Menteri BUMN Arya Sinulingga menyebut, lebih dari 90% alat kesehatan dipenuhi dari impor. Demikian juga terjadi pada bahan baku obat.""Kenapa sampai seperti itu, setelah melihat dan mengevaluasi farmasi kita ternyata alat kesehatan kita mencapai di atas 90% impor, kemudian bahan baku obat pun demikian di atas 90% adalah impor, demikian juga obat-obatan,"" katanya dalam diskusi online, Minggu (19/4/2020).Belum lama Erick menyatukan industri farmasi dan rumah sakit BUMN, Indonesia dihantam oleh virus Corona. Virus Corona pun membuka mata Indonesia.Arya bilang, untuk alat pelindung diri (APD) saja, Indonesia hanya bisa menjahit karena tak memiliki bahan baku.""Ini adalah kondisi riil yang dilihat Pak Erick Thohir sehingga beliau melihat untuk mengamankan generasi-generasi muda ke depan perlu health security. Ternyata belum lama kita diuji oleh Corona, sub holding farmasi sudah terbentuk sebelum Corona, itu kan di-launching Pak Erick termasuk adalah menyatukan semua rumah sakit kita,"" paparnya.""Masuklah Corona langsung diuji. Terbukti, kita bikin APD punya pabrik mampu menghasilkan 20 juta APD, tapi ternyata bahan baku nggak ada, jadi tempat kita hanya kayak tukang jahit. Misalnya Korea, atau kita lah bawa baju kain bahan datang ke tukang jahit, 'Eh ini bahan saya bikin baju saya, saya bayar kamu ya, ini yang terjadi,"" terang Arya.",finance
1037,"Produktif di Rumah, Ayu Ting Ting Bikin Donat hingga Cireng",,food
1038,Produsen Peti Mati di Spanyol Kewalahan,"Pabrik Eurocoffin harus melipatgandakan produksi peti mati untuk mengimbangi banyaknya permintaan di tengah pandemi Corona. Pabrik harus menyediakan peti mati untuk rumah duka di negara Eropa dan Amerika Selatan, lebih dari 150 peti mati dalam sehari.",finance
1039,Produsen Tas Legendaris Ini Banting Setir Bikin Masker,"Penyebaran COVID-19 di berbagai negara turut mengganggu roda perekonomian. Mulai dari jasa keuangan, industri makanan, perdagangan hingga produksi alat-alat perlengkapan outdoor. Salah satu produsen alat outdoor merek Alpina juga merasakan imbas pandemi ini. Sejak Corona diumumkan ada di Indonesia omzet Alpina merosot drastis hingga 90%-95%.Ya memang masyarakat mengikuti anjuran pemerintah untuk berdiam diri di rumah. Jadi, tidak ada lagi anak gunung yang mendaki dan ini berdampak pada penurunan penjualan Alpina. Pendiri Alpina, Paidjan Adriyanto menjelaskan agar bisa bertahan di kondisi seperti sekarang. Ia banting setir untuk membuat masker waterproof untuk masyarakat. ""Kami akhirnya membuat masker dengan bahan taffeta nylon dan katun dengan lapis dalam polar,"" kata Yanto saat dihubungi detikcom, Sabtu (18/4/2020).Dia mengungkapkan satu buah masker dijual dengan harga Rp 12.500 dengan bahan yang tebal dan nyaman. Yanto mengharapkan masker-masker Alpina ini bisa membantu melindungi masyarakat dan menekan penyebaran virus Corona. Paling banyak pesanan masker berasal dari Jakarta dan beberapa ke berbagai wilayah di Indonesia. Setiap hari, Yanto dengan 2 penjahitnya mengerjakan 100 masker dan minggu lalu ia sudah mengerjakan pesanan 1.000 buah masker. Yanto menyebut untuk menjaga kebersihan. Penjahitnya selalu mencuci tangan, menggunakan handsanitizer dan menggunakan masker saat memproduksi masker Alpina. Selain masker, Alpina juga memproduksi APD untuk tenaga kesehatan. Hal ini karena permintaan dari tenaga medis yang kekurangan APD melonjak. ""Ada permintaan dari klinik sekitar, kami juga mau bantu tenaga medis yang membutuhkan,"" imbuh dia.Harga satu unit APD dijual seharga Rp 240.000. Bahan baku yang digunakan adalah kain waterproof seperti taffeta nylon dan bisa dicuci kembali.Dia mengharapkan masker dan APD produksinya membantu memerangi COVID-19. detikers yang ingin memesan bisa langsung ke akun Instagram Alpina atau langsung menghubungi toko di Jalan Alpina No. 1 Komplek Dago Asri bandung.",finance
1040,Program Kartu Pra Kerja Sebaiknya Disetop Sementara,"Belakangan ini program Kartu Pra Kerja mendapat banyak kritikan, mulai dari pelaksanaannya yang tidak tepat di tengah pandemi Corona atau COVID-19, hingga pemberian materi pelatihan yang dianggap serupa dengan konten gratisan di YouTube.Peneliti Indef Bhima Yudhistira menilai program Kartu Pra Kerja sebaiknya dihentikan sementara dan konsep programnya diubah menjadi penyaluran bantuan langsung tunai (BLT) untuk masyarakat terdampak Corona.""Sebaiknya memang disetop model Pra Kerja seperti yang telah berjalan. Karena sama sekali tidak efektif dalam menstimulus perekonomian,"" kata Bhima saat dihubungi detikcom, Jakarta, Kamis (23/4/2020).Pandemi Corona telah memukul banyak bisnis perusahaan di Indonesia, pukulan itu juga berujung pada para pegawainya yang hingga saat ini banyak yang dirumahkan dan tidak sedikit juga terkena pemutusan hubungan kerja (PHK).Berdasarkan data Kementerian Ketenagakerjaan, per 21 April, total ada 2.084.593 pekerja dari sektor formal dan informal dari 116.370 perusahaan yang terdampak COVID-19.Rinciannya jumlah perusahaan dan pekerja formal yang dirumahkan adalah 1.304.777 dari 43.690 perusahaan. Sedangkan yang di-PHK adalah dari 41.236 perusahaan dengan jumlah pekerja sebanyak 241.431 orang. 

",finance
1041,Proses Ruangguru Diajak Terlibat di Kartu Pra Kerja Terkuak,"Dipilihnya Ruangguru menjadi mitra program Kartu Pra Kerja belakangan jadi polemik. Alhasil, Adamas Belva Syah Devara, CEO Ruangguru pun memilih mundur dari posisi staf khusus Presiden Joko Widodo Direktur Eksekutif Manajemen Pelaksana Program Kartu Pra Kerja, Denni Puspa Purbasari buka suara menjelaskan proses pemilihan atau seleksi mitra yang terlibat dalam pemberian pelatihan Kartu Pra Kerja, termasuk Ruangguru. Menurutnya, proses diskusi atas pelibatan semua mitra telah dilakukan sejak November 2019. Saat itu, pihaknya ingin segera menandatangani nota kesepahaman dengan calon mitra. Langkah tersebut dilakukan supaya para investor yang berada di balik mitra tersebut bisa menginvestasikan dana lebih besar.""Biar investasi mereka, kalau tidak investasi, tidak bisa melayani. Ini program besar,"" kata Denni melalui telekonferensi, Rabu (22/4/2020).Pada proses diskusi ini lah beberapa unicorn masuk. Namun 2 unicorn tidak bisa menjadi mitra karena model bisnis yang diterapkan dalam pelatihan Kartu Pra Kerja bukan core mereka dan hanya Ruangguru yang secara model bisnis sesuai.""Ruangguru memang bisnisnya jualan modul dan besar. Ini penting dan saya tahu yang punya kemampuan itu (Ruangguru). Sedangkan Tokopedia dan Bukalapak unicorn, tapi core business jualan barang,"" ucapnya.Saat ini sendiri ada delapan mitra Kartu Pra Kerja. Ke depan, kata Denny, pihaknya akan terus memperbanyak mitra. Terlebih saat ini sudah banyak yang ingin menjadi mitra Kartu Pra Kerja, salah satunya berasal dari Badan Usaha Milik Negara (BUMN).""Saya berulang kali katakan tidak berhenti dengan 8 (mitra), 1.500 pelatihan. 192 lembaga pelatihan (akan) kita buka dan lebih banyak opsi lembaga pealtihan kecil bermitra dengan digital platform. Saat ini yang interest ada 1 BUMN, ada juga market place yang menawarkan pelatihannya offline, (perusahaan) masih kecil tapi kita ajak,"" ujarnya.",finance
1042,Proyek 3 Pasar di Jatim Dikebut demi Pasok Pangan Selama Corona,"Pembangunan Pasar Legi mulai dikerjakan sejak 20 Februari 2020 dengan biaya bersumber dari APBN sebesar Rp 133,6 miliar. Saat ini progres fisik pasar mencapai 4,25% dan ditargetkan selesai 30 Desember 2020. Foto: Dok. Kementerian PUPR",finance
1043,Proyek Apartemen Ini Terus Jalan di Tengah Pandemi Corona,,finance
1044,Proyek Investasi di Indonesia Didominasi Pekerja Asing?,"Kepala Badan Koordinasi Penanaman Modal (BKPM) menjamin investasi yang masuk di Indonesia tidak membuat Indonesia kebanjiran tenaga kerja asing (TKA). Pihaknya bakal mengawal agar tenaga kerja dalam negeri diutamakan.Bahlil menjelaskan TKA hanya boleh mengisi posisi kerja dengan skill tertentu yang memang belum bisa dipenuhi oleh sumber daya manusia (SDM) dalam negeri.""Kalau yang tidak disyaratkan dalam undang-undang, ya mohon maaf kata, dengan segala hormat BKPM tetap mendahulukan tenaga kerja dalam negeri karena salah satu tujuan investasi kan penciptaan lapangan pekerjaan,"" kata dia dalam paparan realisasi investasi triwulan pertama 2020 melalui saluran YouTube BKPM, Senin (20/4/2020).Lagipula menurutnya tidak tepat jika lapangan pekerjaan yang tercipta justru diisi oleh pekerja asing, sedangkan orang Indonesia mampu mengisi posisi tersebut.""Kalau kemudian lapangan pekerjaan diisi oleh orang luar sementara skill-nya ada di Indonesia saya pikir tidak tepat lah,"" sebutnya.Dia menjelaskan Presiden Joko Widodo (Jokowi) sudah menginstruksikan agar setiap investasi yang masuk diprioritaskan untuk diisi oleh tenaga kerja Indonesia.""Saya pastikan atas perintah Bapak Presiden, setiap investasi masuk harus mendahulukan tenaga kerja dalam negeri, itu perintah Presiden dan saya amankan itu. Saya cuma dengar perintah Bapak Presiden dan kewajiban saya sebagai pembantu Presiden untuk mengamankan perintah itu,"" tambahnya.",finance
1045,Proyek Konstruksi Tol Serang-Panimbang Disetop,"Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono menghentikan sementara pekerjaan pembangunan konstruksi Jalan Tol Serang-Panimbang dalam rangka pencegahan virus Corona (COVID-19). Keputusan tersebut berdasarkan pertimbangan atas laporan adanya satu orang karyawan di lokasi proyek yang berstatus Pasien Dalam Pengawasan (PDP). Penghentian sementara konstruksi Tol Serang-Panimbang diberikan selama 14 hari berlaku sejak pengajuan surat usulan penghentian sementara oleh Direktur Jenderal (Dirjen) Bina Marga mendapat persetujuan Menteri PUPR tertanggal 16 April 2020. Selanjutnya pekerjaan konstruksi dapat dimulai kembali apabila kondisi di lapangan dinyatakan aman. Hal ini sesuai dengan Instruksi Menteri (Inmen) No 02/IN/M/2020 tentang Protokol Pencegahan Penyebaran Corona Virus Disease 2019 (COVID-19) dalam Penyelenggaraan Jasa Konstruksi yang terbit pada 27 Maret 2020. ""Salah satu poin penting yang diinstruksikan Menteri PUPR adalah penyelenggaraan jasa konstruksi dapat diberhentikan sementara akibat keadaaan kahar,"" dikutip dari keterangan tertulis Kementerian PUPR, Rabu (22/4/2020)Pelaksanaan pemberhentian pekerjaan sementara tetap mengacu pada Mekanisme Penghentian Pekerjaan Sementara yang terdapat pada Lampiran Tindak Lanjut terhadap Kontrak Penyelenggaraan Jasa Konstruksi pada Inmen PUPR. Penghentian sementara tidak melepaskan hak dan kewajiban Pengguna Jasa dan Penyedia Jasa terhadap kompensasi biaya upah tenaga kerja konstruksi, subkontraktor, produsen, dan pemasok yang terlibat. Artinya, upah tenaga kerja konstruksi tetap dibayarkan. Hal ini dimaksudkan untuk tetap melindungi hak-hak dan kewajiban para pihak dengan tetap memperhatikan upaya pencegahan dan penanganan COVID-19.Jalan Tol Serang-Panimbang memiliki panjang 83,67 Km yang terbagi menjadi 3 Seksi, yakni Seksi 1 Ruas Serang - Rangkasbitung (26,50 Km), kemudian Seksi 2 Ruas Rangkasbitung - Cileles (24,17 Km), dan Seksi 3 Ruas Cileles - Panimbang (33 Km). Pembangunannya dikerjakan dengan skema Kerjasama Pemerintah dan Badan Usaha (KPBU) dengan nilai investasi sebesar Rp 5,33 triliun terdiri dari Seksi 1 - 2, porsi Badan Usaha Jalan Tol (BUJT) oleh PT Wijaya Karya Serang Panimbang dan Seksi 3 porsi Pemerintah. Saat ini tengah dikerjakan pembangunan pada Seksi 1 dengan progres konstruksi 57,31%. Secara keseluruhan Jalan Tol Serang - Panimbang ditargetkan dapat beroperasi pada 2022. Kehadiran tol ini menjadi akses pendukung menuju Kawasan Ekonomi Khusus (KEK) Tanjung Lesung dan kawasan wisata Taman Nasional Ujung Kulon serta memberikan kemudahan dan efisiensi waktu perjalanan karena akan tersambung dengan Tol Jakarta - Merak. Perjalanan dari Jakarta menuju Tanjung Lesung yang sebelumnya ditempuh waktu sekitar 4 - 5 jam, nantinya hanya menjadi sekitar 2 - 3 jam dengan kecepatan rata-rata 80 km/jam.Selain sebagai penghubung menuju daerah pariwisata di sekitar wilayah Banten, terselesaikannya Tol Serang-Panimbang juga akan memperlancar konektivitas perekonomian masyarakat baik dari sektor industri, barang, dan jasa, khususnya 3 daerah di Provinsi Banten yang dilintasi jalan tol yakni Kabupaten Serang, Lebak, dan Pandeglang.",finance
1046,Proyek LRT Jabodebek Jalan Terus di Tengah Pandemi Corona,"LRT Jabodebek Tahap I ini telah dikerjakan sejak September 2015, dengan nilai pekerjaan Rp 22,8 triliun. Begini progresnya terkini. ANTARA FOTO/Aprillio Akbar",finance
1047,Proyeksi Pertumbuhan Ekonomi Indonesia di Tengah Pandemi Corona,Dampak penyebaran virus Corona diproyeksi mendatangkan malapetaka pada ekonomi dunia. Bahkan sekitar setengah miliar warga dunia diprediksi jatuh ke jurang kemiskinan. ANTARA FOTO/Sigid Kurniawan Â ,finance
1048,Puas Makan Aneka Dimsum Enak dan Murah Meriah,Ada dimsum rumahan yang enak dan murah yang bisa dipesan secara online. Salah satunya Dimsum Pertok yang menawarkan dimsum rumahan.,food
1049,"Puasa dan Lebaran dari Rumah, Bisa Nabung Banyak Nih!",,finance
